Targ,Mask,AnglTarg,AnglMask,thisN,thisTrialN,thisRepN,R1.numClicks,R1.timesOn,R1.timesOff,R2.numClicks,R2.timesOn,R2.timesOff,R3.numClicks,R3.timesOn,R3.timesOff,R4.numClicks,R4.timesOn,R4.timesOff,R5.numClicks,R5.timesOn,R5.timesOff,R6.numClicks,R6.timesOn,R6.timesOff,R7.numClicks,R7.timesOn,R7.timesOff,R8.numClicks,R8.timesOn,R8.timesOff,B1.numClicks,B1.timesOn,B1.timesOff,B2.numClicks,B2.timesOn,B2.timesOff,B3.numClicks,B3.timesOn,B3.timesOff,B4.numClicks,B4.timesOn,B4.timesOff,B5.numClicks,B5.timesOn,B5.timesOff,B6.numClicks,B6.timesOn,B6.timesOff,B7.numClicks,B7.timesOn,B7.timesOff,B8.numClicks,B8.timesOn,B8.timesOff,V1.numClicks,V1.timesOn,V1.timesOff,V2.numClicks,V2.timesOn,V2.timesOff,V3.numClicks,V3.timesOn,V3.timesOff,V4.numClicks,V4.timesOn,V4.timesOff,V5.numClicks,V5.timesOn,V5.timesOff,V6.numClicks,V6.timesOn,V6.timesOff,V7.numClicks,V7.timesOn,V7.timesOff,V8.numClicks,V8.timesOn,V8.timesOff,J1.numClicks,J1.timesOn,J1.timesOff,J2.numClicks,J2.timesOn,J2.timesOff,J3.numClicks,J3.timesOn,J3.timesOff,J4.numClicks,J4.timesOn,J4.timesOff,J5.numClicks,J5.timesOn,J5.timesOff,J6.numClicks,J6.timesOn,J6.timesOff,J7.numClicks,J7.timesOn,J7.timesOff,J8.numClicks,J8.timesOn,J8.timesOff,Pasdeffort.numClicks,Pasdeffort.timesOn,Pasdeffort.timesOff,__1.numClicks,__1.timesOn,__1.timesOff,Trespeudeffort.numClicks,Trespeudeffort.timesOn,Trespeudeffort.timesOff,__2.numClicks,__2.timesOn,__2.timesOff,Peudeffort.numClicks,Peudeffort.timesOn,Peudeffort.timesOff,__3.numClicks,__3.timesOn,__3.timesOff,Effortmodere.numClicks,Effortmodere.timesOn,Effortmodere.timesOff,__4.numClicks,__4.timesOn,__4.timesOff,Effortconsiderable.numClicks,Effortconsiderable.timesOn,Effortconsiderable.timesOff,__5.numClicks,__5.timesOn,__5.timesOff,Beaucoupdeffort.numClicks,Beaucoupdeffort.timesOn,Beaucoupdeffort.timesOff,Quedubruit.numClicks,Quedubruit.timesOn,Quedubruit.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,text_instruction.started,Target.started,Markser.started,text_instruction.stopped,R1.started,R2.started,R3.started,R4.started,R5.started,R6.started,R7.started,R8.started,B1.started,B2.started,B3.started,B4.started,B5.started,B6.started,B7.started,B8.started,V1.started,V2.started,V3.started,V4.started,V5.started,V6.started,V7.started,V8.started,J1.started,J2.started,J3.started,J4.started,J5.started,J6.started,J7.started,J8.started,Markser.stopped,Target.stopped,trial.stopped,trials.R1.numClicks,trials.R1.timesOn,trials.R1.timesOff,trials.R2.numClicks,trials.R2.timesOn,trials.R2.timesOff,trials.R3.numClicks,trials.R3.timesOn,trials.R3.timesOff,trials.R4.numClicks,trials.R4.timesOn,trials.R4.timesOff,trials.R5.numClicks,trials.R5.timesOn,trials.R5.timesOff,trials.R6.numClicks,trials.R6.timesOn,trials.R6.timesOff,trials.R7.numClicks,trials.R7.timesOn,trials.R7.timesOff,trials.R8.numClicks,trials.R8.timesOn,trials.R8.timesOff,trials.B1.numClicks,trials.B1.timesOn,trials.B1.timesOff,trials.B2.numClicks,trials.B2.timesOn,trials.B2.timesOff,trials.B3.numClicks,trials.B3.timesOn,trials.B3.timesOff,trials.B4.numClicks,trials.B4.timesOn,trials.B4.timesOff,trials.B5.numClicks,trials.B5.timesOn,trials.B5.timesOff,trials.B6.numClicks,trials.B6.timesOn,trials.B6.timesOff,trials.B7.numClicks,trials.B7.timesOn,trials.B7.timesOff,trials.B8.numClicks,trials.B8.timesOn,trials.B8.timesOff,trials.V1.numClicks,trials.V1.timesOn,trials.V1.timesOff,trials.V2.numClicks,trials.V2.timesOn,trials.V2.timesOff,trials.V3.numClicks,trials.V3.timesOn,trials.V3.timesOff,trials.V4.numClicks,trials.V4.timesOn,trials.V4.timesOff,trials.V5.numClicks,trials.V5.timesOn,trials.V5.timesOff,trials.V6.numClicks,trials.V6.timesOn,trials.V6.timesOff,trials.V7.numClicks,trials.V7.timesOn,trials.V7.timesOff,trials.V8.numClicks,trials.V8.timesOn,trials.V8.timesOff,trials.J1.numClicks,trials.J1.timesOn,trials.J1.timesOff,trials.J2.numClicks,trials.J2.timesOn,trials.J2.timesOff,trials.J3.numClicks,trials.J3.timesOn,trials.J3.timesOff,trials.J4.numClicks,trials.J4.timesOn,trials.J4.timesOff,trials.J5.numClicks,trials.J5.timesOn,trials.J5.timesOff,trials.J6.numClicks,trials.J6.timesOn,trials.J6.timesOff,trials.J7.numClicks,trials.J7.timesOn,trials.J7.timesOff,trials.J8.numClicks,trials.J8.timesOn,trials.J8.timesOff,escu.started,Pasdeffort.started,__1.started,Trespeudeffort.started,__2.started,Peudeffort.started,__3.started,Effortmodere.started,__4.started,Effortconsiderable.started,__5.started,Beaucoupdeffort.started,Quedubruit.started,escu.stopped,trials.Pasdeffort.numClicks,trials.Pasdeffort.timesOn,trials.Pasdeffort.timesOff,trials.__1.numClicks,trials.__1.timesOn,trials.__1.timesOff,trials.Trespeudeffort.numClicks,trials.Trespeudeffort.timesOn,trials.Trespeudeffort.timesOff,trials.__2.numClicks,trials.__2.timesOn,trials.__2.timesOff,trials.Peudeffort.numClicks,trials.Peudeffort.timesOn,trials.Peudeffort.timesOff,trials.__3.numClicks,trials.__3.timesOn,trials.__3.timesOff,trials.Effortmodere.numClicks,trials.Effortmodere.timesOn,trials.Effortmodere.timesOff,trials.__4.numClicks,trials.__4.timesOn,trials.__4.timesOff,trials.Effortconsiderable.numClicks,trials.Effortconsiderable.timesOn,trials.Effortconsiderable.timesOff,trials.__5.numClicks,trials.__5.timesOn,trials.__5.timesOff,trials.Beaucoupdeffort.numClicks,trials.Beaucoupdeffort.timesOn,trials.Beaucoupdeffort.timesOff,trials.Quedubruit.numClicks,trials.Quedubruit.timesOn,trials.Quedubruit.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T2_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7857081999536604],[0.7857130998745561],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9687290999572724],[0.9687333998735994],0,,,0,,,0,,,0,0,0,2,0.07604170008562505,,True,0.05653030006214976,0.07604170008562505,0.5102780666823189,0.5102780666823189,0.5768751001451164,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.027703900123015,2.593786400044337,2.709823500132188,2.8150725001469254,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7857081999536604],[0.7857130998745561],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2.818158300127834,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,2.843919500010088,3.8132646000012755,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9687290999572724],[0.9687333998735994],0,,,0,,,0,,,pilot,001,2026-07-07_14h23.49.305,CRM_Spat,,2026.1.3,60.51389611889079,2026-07-07 14h23.50.680871 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.36904369993135333],[0.3690483998507261],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5200626000296324],[0.5200670999474823],0,,,0,,,0,,,0,1,1,0,3.8595452001318336,,,3.8441184000112116,3.8595452001318336,4.327557166867579,4.327557166867579,4.360871800221503,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,5.842771700117737,,,6.213679000036791,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.36904369993135333],[0.3690483998507261],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6.250506400130689,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.276851500151679,6.7972554001025856,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5200626000296324],[0.5200670999474823],0,,,0,,,0,,,pilot,001,2026-07-07_14h23.49.305,CRM_Spat,,2026.1.3,60.51389611889079,2026-07-07 14h23.50.680871 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T1_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,2,2,0,0,,,0,,,0,,,0,,,1,[1.0535013999324292],[1.0535068998578936],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5367866999004036],[0.5367908000480384],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2,2,1,6.827040300006047,,,6.812168700154871,6.827040300006047,7.311920266893382,7.311920266893382,7.328395700082183,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,8.82624930003658,9.410614000167698,9.510177500080317,9.883942000102252,0,,,0,,,0,,,0,,,1,[1.0535013999324292],[1.0535068998578936],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9.885327200172469,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,9.910672300029546,10.448354700114578,0,,,0,,,0,,,1,[0.5367866999004036],[0.5367908000480384],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot,001,2026-07-07_14h23.49.305,CRM_Spat,,2026.1.3,60.51389611889079,2026-07-07 14h23.50.680871 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T1_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,3,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4065636999439448],[0.40657110000029206],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[3.15240540006198],[3.152409499976784],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,0,3,1,10.476596900029108,,,10.464027300011367,10.476596900029108,10.961908366826053,10.961908366826053,10.978153200121596,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,12.477493500104174,,,12.884792200056836,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4065636999439448],[0.40657110000029206],0,,,0,,,0,,,0,,,0,,,12.913476700196043,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,12.943980200216174,16.09706400008872,0,,,0,,,0,,,1,[3.15240540006198],[3.152409499976784],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot,001,2026-07-07_14h23.49.305,CRM_Spat,,2026.1.3,60.51389611889079,2026-07-07 14h23.50.680871 +0200,
